;Values;Average_difference;Average_value;Std_values;videoid;channel
0;Hue;1.4973333295290479;329.68571921562364;49.79088565255197;1;BabyChaCha
1;Lightness;0.23870426004927;62.58672633618165;8.6888950679643;1;BabyChaCha
2;Saturation;0.2859155500811152;69.11777167400021;9.94182149894396;1;BabyChaCha
0;Hue;1.2379405672128516;239.7432615820767;65.65815997522155;2;BabyChaCha
1;Lightness;0.2332925490196078;51.80066870023938;11.779252208362216;2;BabyChaCha
2;Saturation;0.3132280401538605;60.95999952725062;10.955840890187424;2;BabyChaCha
0;Hue;1.2643291468275248;343.18982980746523;65.18682134486781;3;BabyChaCha
1;Lightness;0.170615054884583;70.92028674434515;7.458057639936103;3;BabyChaCha
2;Saturation;0.20149012367132974;58.06116117379202;9.297562926539367;3;BabyChaCha
0;Hue;1.2226986581517836;290.8025093755443;59.272256896183194;4;BabyChaCha
1;Lightness;0.1998614537274067;51.970328935482996;12.20239074552204;4;BabyChaCha
2;Saturation;0.27211176972534423;43.669003202583966;16.188235001547;4;BabyChaCha
0;Hue;1.4828167734372395;304.0468700283617;69.8813631154629;5;BabyChaCha
1;Lightness;0.21005299748560224;64.80781063215508;9.377783240066256;5;BabyChaCha
2;Saturation;0.24383344762414474;63.59982498968888;10.262881306403804;5;BabyChaCha
0;Hue;1.789249992019154;248.13974552833255;73.32900707266552;6;BabyChaCha
1;Lightness;0.22984081017022187;59.84572231054583;10.872014621622393;6;BabyChaCha
2;Saturation;0.2993766602025425;55.17330882676076;11.246171618523974;6;BabyChaCha
0;Hue;1.7394792558357584;250.76380113911975;69.8376689492121;7;BabyChaCha
1;Lightness;0.25219659501465247;60.20593240873584;9.675819538989497;7;BabyChaCha
2;Saturation;0.29002063782091136;55.76210578670492;8.991704763081529;7;BabyChaCha
0;Hue;1.585159464167718;269.30850797150384;63.756983457824816;8;BabyChaCha
1;Lightness;0.26686006512521376;58.183217072782284;11.203188699119279;8;BabyChaCha
2;Saturation;0.3138116897416076;64.31016355170831;10.070072187896212;8;BabyChaCha
0;Hue;1.33986745041801;342.7760809616029;63.258787289400175;9;BabyChaCha
1;Lightness;0.20737263198650405;66.05715167853275;9.655826363867533;9;BabyChaCha
2;Saturation;0.3070538639527273;56.737451579456696;10.359743420029263;9;BabyChaCha
0;Hue;1.3767313017644605;280.92671128346205;59.585730613847126;10;BabyChaCha
1;Lightness;0.21154865799650302;59.543599319467475;8.71561863331418;10;BabyChaCha
2;Saturation;0.35030804181077935;59.382576334481726;11.011634435835411;10;BabyChaCha
0;Hue;1.1529729700443077;234.35051444494434;64.2847290417635;11;BabyChaCha
1;Lightness;0.24552688683231919;48.1543298426831;12.235274247263808;11;BabyChaCha
2;Saturation;0.3758241210277214;54.38317388296552;13.03375202316483;11;BabyChaCha
0;Hue;1.5553142320485926;343.3371848562245;49.57922627671814;12;BabyChaCha
1;Lightness;0.23601913864278878;63.616061551440026;7.4184557956318224;12;BabyChaCha
2;Saturation;0.3042299791422701;64.19511661423716;8.996727171672912;12;BabyChaCha
0;Hue;1.4744089279490622;232.71207289978065;82.05460759128003;13;BabyChaCha
1;Lightness;0.19944647366425594;58.344162877771936;11.407101269831369;13;BabyChaCha
2;Saturation;0.26037978124485833;53.962683874936076;10.749652363580086;13;BabyChaCha
0;Hue;1.1127155556032124;239.97600313039757;63.105633739680236;14;BabyChaCha
1;Lightness;0.20218327416272547;59.25260583636441;10.004585223919857;14;BabyChaCha
