;type;num_scene_changes;difference;std_count;scene_changes_per_min;time_interval;videoid;channel
0;all_frames;26;50;20.8374662567213;9.95659943834567;5.88461538461539;1;BabyChaCha
1;half_half_second;75;1;20.8374662567213;9.95659943834567;5.88461538461539;1;BabyChaCha
2;half_second;76;0;20.8374662567213;9.95659943834567;5.88461538461539;1;BabyChaCha
3;per_second;64;12;20.8374662567213;9.95659943834567;5.88461538461539;1;BabyChaCha
4;two_seconds;50;26;20.8374662567213;9.95659943834567;5.88461538461539;1;BabyChaCha
5;all_frames;45;41;16.2726764854464;12.9161882893226;4.57777777777778;2;BabyChaCha
6;half_half_second;80;6;16.2726764854464;12.9161882893226;4.57777777777778;2;BabyChaCha
7;half_second;80;6;16.2726764854464;12.9161882893226;4.57777777777778;2;BabyChaCha
8;per_second;86;0;16.2726764854464;12.9161882893226;4.57777777777778;2;BabyChaCha
9;two_seconds;76;10;16.2726764854464;12.9161882893226;4.57777777777778;2;BabyChaCha
10;all_frames;43;40;15.4175224987674;11.9069595717187;4.95720930232558;3;BabyChaCha
11;half_half_second;75;8;15.4175224987674;11.9069595717187;4.95720930232558;3;BabyChaCha
12;half_second;83;0;15.4175224987674;11.9069595717187;4.95720930232558;3;BabyChaCha
13;per_second;70;13;15.4175224987674;11.9069595717187;4.95720930232558;3;BabyChaCha
14;two_seconds;60;23;15.4175224987674;11.9069595717187;4.95720930232558;3;BabyChaCha
15;all_frames;29;51;20.8734280845289;10.1209865053513;5.80137931034483;4;BabyChaCha
16;half_half_second;78;2;20.8734280845289;10.1209865053513;5.80137931034483;4;BabyChaCha
17;half_second;80;0;20.8734280845289;10.1209865053513;5.80137931034483;4;BabyChaCha
18;per_second;67;13;20.8734280845289;10.1209865053513;5.80137931034483;4;BabyChaCha
19;two_seconds;55;25;20.8734280845289;10.1209865053513;5.80137931034483;4;BabyChaCha
20;all_frames;22;35;13.9032370331517;9.38032973280273;6.24727272727273;5;BabyChaCha
21;half_half_second;52;5;13.9032370331517;9.38032973280273;6.24727272727273;5;BabyChaCha
