;channel;videoid;length;views;years;url
0;Coco;1;172.208333333333;6707881005;7;https://www.youtube.com/watch?v=WRVsOCh907o
1;Coco;2;164.875;4054743829;6;https://www.youtube.com/watch?v=MR5XSOdjKMA
2;Coco;3;144.125;3381052873;7;https://www.youtube.com/watch?v=020g-0hhCAU
3;Coco;4;169.166666666667;2020051645;7;https://www.youtube.com/watch?v=Wm4R8d0d8kU
4;Coco;5;124.666666666667;2022049343;7;https://www.youtube.com/watch?v=fdPu-wvl3KE
5;Coco;6;195.833333333333;1909966394;7;https://www.youtube.com/watch?v=n38kGst16sI
6;Coco;7;172.5;1888586616;6;https://www.youtube.com/watch?v=Y2T_rIZ4Pho
7;Coco;8;228.208333333333;1738561256;6;https://www.youtube.com/watch?v=TJmTHuuYx3k
8;Coco;9;238.375;1608133330;6;https://www.youtube.com/watch?v=WF8iaqRqI60
9;Coco;10;209.083333333333;1586226253;7;https://www.youtube.com/watch?v=GDMel6oO2fU
10;Coco;11;180.625;1507281843;7;https://www.youtube.com/watch?v=2E0hHjSwdW4
11;Coco;12;175.625;1407650452;6;https://www.youtube.com/watch?v=HvNdJ2RCReg
12;Coco;13;238.034482758621;1397617753;6;https://www.youtube.com/watch?v=3YltYCrPZos
13;Coco;14;163.875;1245439121;6;https://www.youtube.com/watch?v=fsQVfQt0HOk
14;Coco;15;183.103448275862;504006687;6;https://www.youtube.com/watch?v=TOTd78ZTDGE
15;Coco;16;202.541666666667;1093761884;7;https://www.youtube.com/watch?v=ygcN65SlLFg
16;Coco;17;166.931034482759;1082470665;6;https://www.youtube.com/watch?v=ABEVNHqmbJ4
17;Coco;18;190.041666666667;1067753089;6;https://www.youtube.com/watch?v=Oq61TxejZ5g
18;Coco;19;154.708333333333;1063057921;7;https://www.youtube.com/watch?v=pUu0FWlMpgk
19;Coco;20;168.333333333333;1046108833;7;https://www.youtube.com/watch?v=_Tr9Ncoo-yw
20;PinkFong;1;140.206896551724;14531941491;8;https://www.youtube.com/watch?v=XqZsoesa55w
